Row,Unit,Module,Question,Explanation,Problem Name,Step Name,Input,Input Length,Average Input Length,Num_Step_per_Problem,gpt-4o-mini_p-prim
55471,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Metabolic pathways consist of an ordered set of chemical reactions that are catalyzed by enzymes. At the heart of metabolism are enzymes. These proteins embrace substrates, quickly generating products. One or more substrates bind to an enzyme‚Äôs active site. As a result, the activation energy is reduced and the reaction proceeds much more quickly than it otherwise would. Without enzymes, metabolism would grind to a halt. Furthermore, the structural characteristics of enzymes allow the regulation of their function, thus allowing the regulation of the metabolic pathways they participate in.",89,25.92307692,2,correct input
79782,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",51,25.92307692,2,correct input
12355,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,The terms substrate and product are used in spontaneous reactions and in reactions upon which an enzyme acts on as a catalyst. The substrate is the compound on which the enzyme acts on. The product is the compound that is obtained when the reaction has completed.,46,25.92307692,2,correct input
5983,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"enzyme will grab on (bind) to one or more reactant molecules. These molecules are the enzyme's substrates. In some reactions, one substrate is broken down into multiple products. In others, two substrates come together to create one larger molecule or to swap pieces.",43,25.92307692,2,correct input
30188,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes are proteins that act as a catalysts, these make it easier fro chemical reactions to occur. Substrates are molecules that mind to an enzyme. These substrates are then converted to products by the reaction induced by the enzyme they connected to.",42,25.92307692,2,P-prims: Enzymes are always catalysts for every chemical reaction; Substrates must always bind to an enzyme to be converted to products; The presence of an enzyme guarantees that a reaction will occur.
15338,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes bind with chemical reactants called substrates. There may be one or more substrates for each type of enzyme, depending on the particular chemical reaction. In some reactions, a single-reactant substrate is broken down into multiple products.",37,25.92307692,2,correct input
73968,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes make it easier for a reaction to occur. Substrates are molecules that bind to an enzyme. A product is the result of substrates after the reaction is catalyzed by the enzyme.,32,25.92307692,2,correct input
73968,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,Enzymes are catalyze by the ordered set of chemical reactions. Substrates are the chemicals that is acted upon by binding to the catalyst. A product is produced in a chemical reaction,31,25.92307692,2,P-prims: Enzymes cause reactions to occur rather than just facilitate them; The concepts of enzyme and catalyst are interchangeable; A substrate is merely a chemical that is acted upon rather than a specific molecule that binds to an enzyme; Products are always produced in every chemical reaction regardless of enzyme involvement.
46177,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes bind with chemical reactants called substrates. There may be one or more substrates for each type of enzyme. In some reactions, a single-reactant substrate is broken down into multiple products.",31,25.92307692,2,correct input
61905,_u830_metabolism,_m3_pathways_and_regulation,"What are enzymes, substrate, and product?","Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",_m3_enzm_substrate_product_SC,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,"Enzymes are proteins that act as catalysts. Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme.",30,25.92307692,2,correct input
